# ITALIANO	OROMO	OROMO-Ethiopic	AMARICO	AMARICO-Ethiopic	TIGRINO	TIGRINO-Ethiopic	FRANCESE	ARABO A.O - Egitto - Asia - Libia - Africa sett.
abbaiare	óuttu 		tciohà	ጮኸ	neqqewè	ነቂሁ	aboyer	nabach - mabach
ma	kòfa, malè		ghenà	ግን	ghen	ገና	mais	amma, lachin - lêken, mêlä
macchia	turì		edèf	እድፍ	hetsàb		tache	bacaâ, buqha
macellaio	kokè		ardegna	አራጅ	haradì		boucher	gazzâr, lahhâm - zezzâr
macinare	dakaciù		feccè	ፈጨ	ttehanè		moudre	tâhan, thhan
madre	hadà		ennat	እናት	ennò, addè	አዲ	mère	om, uâleda - ûmm
maestà	talaknet		gianoi	ጃንሆይ	gianòi		majesté	gelâla, ôzma, galâlat
maggio	dèbbitu - kemvot		ghenbot, chenvuot	ግንቦት	ghenbòt	ግንቦት	mai 	mâyô, iyâr, maio
magro	ucata		yechessà	ቀጫጫ	ebarà		maigre	nahîf, mahzûl, nahîl - enhîf
mai	baramunda		menem 	በጭራሽ	eccuà, chettô		jamais	âbadan - ebeden
maiale	arreà, bojè		asamà	አሳማ	hasemà	ሃሳማ	cochon	khanzir
malato	dukubà		dewùi	ደዌ	hemùm	ህሙም	malade	marid, sachim, mahul
malattia	dukubà		hemam	ህመም	hemàm	ህመም	maladie	mânad, âaia, sâcam - mard
malattia celtica	fantò		yabahr-akek	ኅመም	zebahr akek9		maladie celtique	hab afrangi
male, va male	hamà		chefù	ክፉ	chefù	ከፉ	mal, ça va mal	battâl, sarr, dâgu l-ahhual
mancia	arka-fuciùf		gurscià	ጉርሻ	bakscise		pourboire	bakscisc, bagsîs - rigâlo
mandare	arèu		sadadè	ሰደደ	sededè	ሰደደ	envoyer	arsâl, baâts, bahat
mangiare	gnaciù		bellà	ብላ	belhè		manger	âcal, kal - klä, kla
manico	kabannò		egetà	እጀታ	hakhely		manche	îd, mâsca, câbda
mano	karka		ig, egg	እጅ	id	ኢድ	main	jîd, jîdd, îd
marchio	mallàto		melechèt	ምልክት	melchet		marque	dâmga, sêma
marcia	malà		mahiegià	መካድ	makhad	መካድ	marche	sir, masciat, masîra
marciare	ademu		hedè	መሄድ	chedè		marcher	sar, misi, mascia - mârsä
mare	garbà, bahàri		baher	ባህር	bahèr	ባህሪ	mer 	bahr, bahhar
marinaio	nama-bahàri		bharegna	ባህረኛ	baheretài	ባህርቲ	matelot	bâhri, bahhrî
marito	hirsa, abba - worà		bal	ባል	sebày		mari	zog, goz - râzel
marmitta	wocìtti		dest	ድስት	desty	ደስታይ	marmite	qazân, qidra - gider
Mar Rosso	Ertèra		baher	ባህር	bahery		Mer Rouge	el-bahr el-ahhmar
martedì	faciasa		maksegnò	ማክሰኞ	selàs	ስላስ	mardi	yôm el talat, iôm ettalût - iôm el-tlêta
marzo	megabè		meggabìt	መጋቢት	meggabìt	መጋቢት	mars	mârs, adâr
mascella	mangagà		mengagà	መንጋጋ	mengagà	መንጋጋ	mâchoire	fak, fakm, sidq - hank
maschio	dîra		tebat, wend	ወንድ	tabaetài		mâle	dekr, zekr, zâkar - edkâr
materasso	gendiè		feràsc	ፍርሽ	feràsc		matelas	ferâsc, martâba
matita	balci		resas - qelèm	ርሳስ-ቀለም	resas	ርሳስ	crayon	câlam rosâs - glam-arsas
matrimonio	amamota		sergh	ሰርግ	calchidàn		mariage	zauâg - hers
mattino	dirama		maledà	ማለዳ	meguhàt	ወጋህቲ	matin	sebâh, sobh, sabahh - subahh
id. (di huon)	ganamà		melcanmaledà		aguah	 	de bonne heure	fi awwil es sobh
medicina	koriccia		medhanit 	መድሃኒት	medhanit	መድሃኒት	médecine	dauâ, âalag - dwä
medico	abbà koriccia		hakim	ሃኪም	hakim	ሃኪም	médecin	hachîm, tabib - thyb
meglio	kan ciàllu		iscialàl	የተሻለ	belùts		mieux	âhsan, ahhsan - khêr
mendicante	kadattu		lemmagn	ለማኝ	lemmanì	ለማኒ	mendiant	fachîr, sciahâd - sêsi
mentire	sobù		abbelè, wascè	አበለ፣ ዋሸ	seredè		fausser, mentir	cazêb, kidib - kdeb
menzognero	waslatti		abay	አባይ	hesawy	ሃሳዊ	menteur	cadzâb, kaddâb - käddeb
mercato	gabià		ghebeyà	ገበያ	edagà		merché	suk - sûg, suêg
merce	mia guragura		ecà	እቃ	aqhehà	እቃ	marchandise	bedaâ, bdâha
mercoledi	ruobi		rob	ሮብ	rebuè	ሮበ	mercredi	rbâh, iôm erlabaâ - jôm er-rbâh
meretrice	galamòta		galamota	ገለሞታ	faitòt		prostituée	sciarmûta, fâhescia
meriggio	guià walakà		qeter	ቀትር	qetry	ቀትሪ	l'heure du midi	hasr, zohr, dohr
mese	bati		uer	ወር	werhì	ወርሂ	mois	sciâhr, sahr - sahar
metà	kittè		ghemmàsc	ግማሽ	ferqqì	ፍርቁ	moitié	nuss, nofs - nûsef
mezzaluna	geddu già		ghemès cerecà	ግማሽ ጨረቃ	fereqà - berhy		le Croissant	helâl - hîlal
mezzanotte	gilbà		ghemès lielit	ግማሽ ለሊት	ferqqì leytì		minuit	nusse-elleil - nûfs el-lêl
mezzogiorno	gujasafa		ecculchen	እኩለ ቀን	fadùs	ፍቅሪለይቲ	midi	ddohr, ddûhr - duhur, dohor
mezz'ora	geddu èna		mekeniat seàt	ምክንያት ስጥ	mengo seat		demi-heure	nessf, nofs - nûsef
mia	koti		yeniè	የኔ	netey	ናተይ	ma, la mienne	î (suffisso ogni g. e n.)
miasma	agiar bubbè		scettà	ጭጋግ	homak-tcenà		miasme	natâne, rîha battâne - hâfen
miele	tufò, bilà		mar	ማር	mear, lengù		miel	hesel
miglio	daguggià		zer	ዘር	boltuc		mil	dukhn
mignatta	ulaulà		alakt	አልቅት	alekkty	አልቀት	sangsue	selaâ, âalaca
milione	kiti-kuma		metò-elf	መቶ-እልፍ	meelfit		million	maliun
mille	kuma		sceh	ሺህ	sce 	ሺ	mille	âlf, alfu, elf
minuto	kallà		deqìq	ደቂቅ	deqìq	ደቂቅ	minute	dachîca, dahiha - dgîgä
mio	koti		yeniè	የኔ	netey	ናተይ	mon, le mien 	î (suffisso)
miscredente	kafir		kehady	ከሃዲ	kehedy	ከሃዲ	mécréant	câfer,
miseria	iûma, degùma		dehennet	ድህነት	sceggàr	ችግር	misère	focr, mascâna - dêgä
misericordioso	argià		bala cierinèt		leggàs		miséricordieux	giauâd - krîm
misero	aggià, degà		dehà	ደሃ	qelùtt		misérable	maschîn, taâis - zauwäli
mitragliatrice	mitragliàsse		mitraiios	መትረየስ	mitraglias	መትረየስ	mitrailleuse	ressêsa
moglie	dubàrti		mescèt	ሚስት	sebeyty	ሰበይተይ	femme	zogia, qarîna
molto	heddù, danù		bezù	ብዙ	bezùh	ብዙሕ	beaucoup	chetsir, uâfer, kitir - jêser, ktir
monaca	moloxiè		ennatiè	እናንተ	felascit		religeuse	râheba
monaco	monakusiè		menekusiè	መነኩሴ	menekhuès	መነኩሴ	moine	râheb 
moneta	ghenzèb		ghenzèb	ገንዘብ	ghenzèb	ገንዘብ	monnaie	flûs, takâsir âamala
monte	tullù, gàra		terarà	ተራራ	embà, cherèn		mont	giâbal, gebel - gâra, käf
montone	olà, corbèssa		begh	የበግ ቆዳ	megulà		mouton	cabsc, kharûf - fhal-hnâm
morbido	lafùma		leslassà	ለስላሳ	lemlùm	ለምለም	souple, moelleux	naêm, târif
morbo	golfà		bescscetà	በሽታ	heman	ህመም	épidémie	mârad, dâ, âalla - ubê
morire	duù		motè, arefè	ሞተ፣ አረፈ	motè	ሞተ	mourir	mât, tauâffa, mät
morsicatura	cinina		neddefàt	ነደፋት	nekhsì		morsure	âadda, arm - hadda
morso ferro	lugama		legguam	ልጓም	leguàm		mors 	legiâm - lzäm, srymä
morto	dûu		mùt	ሙት	mut		mort	mâit, mayyît - mitt, mejit
mosca	titiccia, titissa		zemb	ዝምብ	tsentsèya		mouche	dobbâna, dibbana - debbênä
moschea	keltù		mesghìd	መስጊድ	mesghìd	መስኪድ	mosquée	gâmih, giamêe, mâsged - zêmah
moscone	bokè		zemb telleq	ሰማያዊ ጠርሙስ	tsentsià		bourdon	dabbûr
mulattiere	nama biccirè		merì boglò	በቅሎ ነጂ	talaibagal		muletier	hâmmar, hhammêr
mulo	biccirè		beqlò	በቅሎ	beqli	በቅሎ	mulet 	bâgl, barhl - bhal
munizione	kabsùl		tteyitòcc		cabsulec chedò		munitions	zakhra, zakhîra - mhimmêt
muratore	nami kâbi		ghembegnà	ግምበኛ	anatsì		maçon	bânna, bannâ - khaddêm
muro	nas, kabi		ghenb, cab	ግንብ፣ ካብ	mendèqh 		mur	sur, hâit, gedâr - khêt
musulmano	islamè		eslam	እስላም	aslamai		musulman	môslem, muslim - meslim
nano	gababà		denk	ድንክ	denchit	ድንክ	nain	canbûr, quzha, tenbâl
nascondere	doksù		scescsceghè		hebè		cacher	khâbba, âkhfa, dass
naso	fugnan		afincià	አፍንጫ	afentcià	አፍንጫ	nez	onf, anf, khasem
nave	markèb		marchèb	መርከብ	merchèb	መርከብ	navire	safîna, fluca
nebbia	hurrì		gum, tcefnà	ጭጋግ	ghimè		brouillard	dabâba, sabûra - dubâba
necessario	dibàmi		yeghèd	የግድ	gheddì	ግዲ	nécessaire	dorûri, lâzem - lêzem
negare	diddù		alù - alè	አሉ - አለ	alù - belè		nier	ancar - nker
negozio	cedacciù		menghèd	መንገድ	neghdì	ንገዲ	boutique	motagiâra - dukkân
negro	sciankallà		tteqùr	ጥቁር	tsellim	ፀለም	nègre	habd, usyf
nemico	aggiamàgia		telàt	ጠላት	tselay	ፀላይ	ennemi	âadu, modad, hadû
nero	guraccia		tecur	ጥቁር	tsellim	ጥቁር	noir	essued, âsuad, iswid - akhal
neve	ciabì		berèd	ብርድ	berèd		neige	tsalg, talj - telz
niente	omàn		menem	ምንም	iment	አምነት	rien	aâdam, hhâga, la scêi - sê, sêi
nitro	barud		tciaù barud		tceu-barud		nitre	mêleh el barûd nattrûn
no	hi, wahu		aidollem	አይዶለም	aykònnen	አይኮነን	non	lâ, lä
nobildonna	guddà		weyzerò	ወይዘሮ	weizerò	ወይዘሮ	patricienne	set sciarifa - mrâ zîda
nobile	guddà		balabbat	ባላባት	chebberèt	ከበርቴ	noble	sciarif - zîd
noi	nu		egnà	እኛ	nehna	ንህና	nous	nahnu, ehna, ihhnâ - khne
nomade	cadàttu		zellàn	ዘላን	gheazì		nomade	badawy, rahhal, sciâred - rahhêl
nome	màka		sem	ሰም	sem	ሰስ	nom 	esm, ism - isem, auay
non	miti		yellem	የለም	ay 	አበይ	ne… pas	mâ, la, mûx, mä
non c'è	kàna mìti		aydèllem	አይደለም	aykònnen	አይኮነ	il n'y a pas	mâ fis - mâ-hu, mûs
non posso	endandau		ayciàllegn		aykeelen allokhù		je ne puis pas	ma acdarsci, mä-nazzim,-s
non so	kan gèttu embekù		alaùqem	አላቅም	ayfeltten	አይፈልጥን	je ne sais pas 	maârafisc - mä nahref
nord	semien		semièn	ሰሜን	semièn	ሰሜን	nord	scemâl, bahharî, bâhhar
nostra	kègna		yegnà	የኛ	naina	ናህና	notre, la nôtre	mtah-ne (suffisso)
nostro	kègna		yegnà	የኛ	naina	ናህና	notre, le nôtre	mtah-ne (suffisso)
notizie	odù		werieòc	ወሬ፣ ዜና	werè	ዌር	nouvelles	khâbarin - ackbâr, tejdid
notte	alcan		liet, lielit	ልልት፣ ልዕልት	leytì	ልዕልቲ	nuit	lel, lêl, lêla, leil
novanta	sagaltama		zetenà	ዘጠና	teseà	ትሰሀ	quatre-vingt-dix	tessâin - teshên
nova 	sagal 		zetegn	ዘጠኝ	tesceate	ትሽሃት	neuf	tessaâ, tisaht - tesha
novembre	debbitu - hedar 		hedàr	ህዳር	hedàr	ህዳር	novembre	nonember
nozze	amamòto		sergh	ሰርግ	merà	መረሃ	noces	êrs, facahh - hers
nubile	dargaghèssa		guebez	ጎበዝ	guebez	ጎበዝ	nubile	becr,sitêta - hêzebä
nuovo	arà		addis	አዲስ	hadis	ሃዲስ	nouveau	giadîd, zdîd
nutrice	gnacisitta		moghsit	ሞግዚት	meguzit	ሞግዚት	nourrice	mordaâ - mraddha
nutrimento	midàn		meblat	መብላት	meghby	ምግበይ	nourriture	tââm, cut - tahâm, rizg
nutrire	guddisu		emmeciàt	እመጫት	meguzìt		nourrir	tâam, acât, qawwit
nuvola	dumèsa		demmenà	ደመና	demmenà	ደመና	nue, nuage	rhema, ghêm, gêma - shhâbä
oasi	menè		mene	ምን	mene 	ምን	oasis	wâha, khamîla, hadîca - seniä, suêni
obbediente	ken abomàma		tazazègna	ትዛዘኛ	teazazy	ትዛዘኛ	obéissant	motiê, tâyib, mutîêh
obbedire	abômi zawaciù		tazazn	ታዘዘን	tazzezè	ታዘዝ	obéir	ataâ, tâhli - tâah
occhio	ìggia		aìn	አይን	ayny	አይና	oeil	âin, hen, âyyn, aen, hên
occidente	baràbita		mirav	ምእራብ	meràb		occident	garb, magreb, rharb - harb
occupare	dubbì		asserà, norè	መያዝ	gheziè		occuper	âscegal, ihhtall
odore	folì, urgà		scettà	ሽታ	scettà		odeur	râiha, rihha
oggetto	mìà		negher	ነገር	aqhehè		objet	tafchira, scéi, hâgia, sei, sê
oggi	haddà		zariè	ዛሬ	lomì	ሎሚ	aujourd'hui	el iôm, en-nahârdâ, ell-jôm
olio	dadà		zeyt, hullù	ዘይት	zeyty		huile	zêt, hhulu, zeit
ombra	ciorrà		tlà	ጥላ	tsellàl		ombre	zal, sciâbah, dill, dell, ddull
ombrello	datù, kodissà		gian-ttellà	ጃንጥላ	tselàl		parasol	mazalla, sciamsîa - samsijä
onesto	garomu		deggh, qqenù	ታማኝ	deggheinà		honnête	saleh, fadil
onore	olfina, gurra		ehebr	ክብር	chebry		honneur	fakhr, ekrâm, sciâraf - hârdd
operaio	bana		serrategnà	ሰራተኛ	serahy	ሰረሃይ	ouvrier	sciaghil, kaddêm
ora	gàfa, amma		seat	ሰዓት	seat	ሰዓት	heure	saâ, sâha
ora, adesso	ammà, iè		ahun	አሁን	hezì	ህዚ	maintenant	elân, haza el uact - tauwa
orare	kadaciù		lemmenè	ለመነ	lemmenè		prier	sâlla, daâ
ordinare	abòmu		azzezè	አዘዘ	azeze		ordonner	rattâb, nâzzam - amâr
ordine	abomi		teezàz	ታዘዘ	teezàz		ordre	nezâm, tartîb, rattib - hkûmä
orecchio	gurrà		giorò	ጆሮ	ezny	ህዝኒ	oreille 	ûdn, uîdn, wuden
oriente	horrù, barabòru		meseràqq	ምስራቅ	meseràqh	ምስራቅ	orient	sciârk, ssarq, sarg
origine	gialcaba		megemmerya	መጀመሪያ	sur		origine	asl, badâia, nsäb
orinare	fingian		scennè, scennà	ሸና	scenè		uriner	bâl, sciakh, shhâh
ornamento	bareduma		ghièt	ጌጥ	scelmat		ornement	zêyna, khordagî
oro	workè		werqq	ወርቅ	werqy	ወርቅ	or	zâhab, dâhab - dahäb
orologio	amma		seàt	ሰዓት	seeàt	ሰዓት	montre	saâ, sâha
orzo	garbù		ghebs	ገብስ	seghèm	ስገም	orge	sciaîr, sihîr, shîr
ospedale	mana dukubà		dewuiòccbièt	ሆስፒታል	endà - amumàt		hôpital	ghêscla, khastakhâna - sbitâr
ospite	kecciùma		enghedà	እንግዳ	gascscià		hôte	dêf, hhâter, ddêf
osso	lafé		atsèm	አፅም	atsmi		os	aâzm, âdm, addme, hâdom
ostacolo	daù		mecacchèl	መሰናክል	mekhelkelì		obstacle	manaâ, moareda, mânih
ostaggio	cabsisa		qqabì, giuò	ተያዥ	geò		otage	masgiûn, mahbûs - emêne
oste	nama bollò		mescetegnà	መሸተኛ	mesciaty		hôtelier	khamûrgi  
otto	saddeti		semment	ስምንት	sciommontè		huit	tamânia, tmênje, temnä
ottobre	techemt		techemt	ጥቅምት	tteghentì		octobre	octôbar, tsirîn auwâl
ovest	mirav, baràbita		mirav	መርፌ	meràb		ouest	garb, magreb, harb
ozioso	engiallatu		leghemegnà	ልግመኛ	accài		oisif	caslân, motagiâlles, battal
pace	arara		erk	እርቅ	selàm	ሰላም	paix	solh, salâma, sûlhh
padre	abbà		abbat 	አባት	abbò	አቦ	père	ab, uâled - bû
padrone	abbà, goftà		ghietà	ጌታ	beàl, wannà		patrou, maître	mâlek, sâheb - môl, môla
paese	bìa, gandà		agher	አገር	addì	አዲ	pays	balâd - blêd, eblêd
pagano	kafir		aremenì	አረመኔ	aremawì	አረማይ	païen	aâbed asnâm, kâfer
pagare	gatti bassu		cheffelè	መክፈል	chefelè	ክፍል	payer	dafâa, dafah, hhâlles
paglia	carma, cidì		ghelebà	ገለባ	haser	ሀሰር	paille	gasc, tibin
palazzo	kèe		addaràsc	አዳራሽ	addarasc	አዳራሽ	palais	serâia - serêjä
palma dum	méti		zembabà	ዘምባባ	seyyè		palmier	dôma
palma datteri	mukà mèti		rahid	ቴምር	geberrà		dattier	nâkhla, bâlha - nahhlä
palude	burukà		matt, cikkà	ማጥ፣ ጭቃ	delamèt		marais	bohîra, âgiam - hdîr
pane	buddena		engerà	እንጀራ	anghierà	እንጀራ	pain	eêsc, êeisc, khobz - hhûbz
pane azzimo	kace kittà		engerà	እንጀራ	anghierà	እንጀራ	id, azyme	eêsc, gher khamir
pane di dura	tàfi		dabbò	ዳቦ	tabità		id, doura	eêsc el qâsy
panettiere	nama buddena		fetcetà	ጋጋሪ	fetcetà		boulanger	khabbâz, farrân
pantaloni	surè		surrì, suriè	ሱሪ፣ ሱሬ	serè	ሱሪ	pantalon	serual, bantalûn - siruêl
pantofole	fanôta mana		tciammà	ነጠላ ጫማ	ciammà		pantoufles	bâbûg - subbat, trälik, blahh
paradiso	ginnata 		ghennet	ገነት	ghennèt		paradis	gênna, janna, zanne
parente	fira		zemed	ዘመድ	zemèd	ዘመድ	parent	garîb, nassîb
parlare	asàu		tenaggherè	ተናጋሪ	tezareè	ተዛሪቡ	parler	tacâllam, itkallim, dwä
parola	arràba, dubbì		negher	ነገር	qqal	ቃል	parole, mot	lâfza, chêlma, kilme, kelmä
partenza	adèma		mennesàt	መነሳት	neqhelò	ነቂሉ	départ	qiyâm
partire	hirmaciù		hedè, tenessà	ሂድ፣ ተነሳ	chedè	ቺድ	partir	rah, sâfar, sfar
partorire	dau		welledè	ወለደ	heresè	ዘረሽ	enfanter	uâladat, wilid, ulyd
pascolo	kolò		mesk	መስክ	ghettèsc		pâturage	maraâ, marha, srâhh
Pasqua	fasicà		fasicà	ፋሲካ	fasikhà	ፋሲካ	Pâque	fashh, el-hid el kibîr
passaggio	karà		malèf	ማለፍ	mehlefì		passage	morûr, magiâz
passaporto	karà kitàb		menghèd debdabbiè	ፓስፖርት	uaracat mehlèfi		passe-port	tqazcâra el morûr - teskrä
passare	dàbiu		allefè	አለፈ	halefè		passer	dahaba, mâda, fat - haddä
pastore	tixìta		erregnà	እረኛ	guasà		berger	râai, baqqar - râhe, râhi
patate	dinecia		batatos	ድንች	batatis		pommes de terre	batâtes, batâta
patria	bià		aghèr  	የትውልድ ቦታ	addebbò		patrie	uatan, uathan, bläd
paura	sodè		ferat	ፍራት	ferhàt		peur	khôf, rahse
pauroso	lughnà		ferì	ፈሪ	ferrah	ፈሪ	peureux	khauîf, kêif
pavimento	obdì kan manatti		uelèl	ወለል፣ መሬት	medribiet		plancher	taballôf, ardîye, tablîtt
paziente	òbsitu		teghestegnà	ትግስተኛ	eggùs		tolérant	sâber, sobûr
pecora	olà		begh	በግ	begghyè		brebis	ganâma - nahzä
pelle	daghnà		qqorbèt	ቁርበት	qquerbèt		peau	geld, ghild, jild, zeld
penna	ballè, calàmi		berè 	በሬ	bery	ብራይ	plume	calam, riscia, glam
pensare	faràdu		assebè	አሰበ	hasebè	አሰበ	penser	aftâcar, hhammum
pensatore	nàma faràdu		assabì	አሳቢ	hasbai	አሰቢ	penseur	facchîr
pensiero	hàwa, iada		assàb	አሳብ	hasàb		pensée	fekr, zan, hamm
pepe	berberì		tecur berberì	በርበሬ	berber	በርበሬ	poivre	fêlfel, filfila, filfil
pepe rosso	berberì		cai berberì	ቀይ በርበሬ	berberi		id. rouge	fêlfel âhmar, filfil hhamr
per	wagin		selè	ስለ	meentì		pour 	hatta, licâi, liâgel, khelli, khalli
perchè (risp.)	me, mafa		endìh	እንዲህ 	endè		parce que	lizâlek, âalascân, halakhâtar
perchè ?	malif ?		salè men ?	ስለ ምን	nemantai ?		pourquoi ?	lesc?, limâza ? - hal-es?, elwah?
permesso ?	dagò?		messenabet?	ፈቃድ	selttàn		est-il permis?	ezen?, egiâza?, destûr?
permettere	abòmu		asfeqqedè	አስፈቅድ	afeqhedè		permetter	âzan, agiâz, râkhas - sârrehh
pernottare	bulù		adderè	አደር	haderè	ሃደረ	passer la nuit	bât, batgabat, bät
pesce	kurtumì		assà	አሳ	asa	አሳ	poisson	samak, bût, hhutät
pettinatura	fakkèsu		ttequr-neqesàt	የፀጉር ፋሽን	senteràt		coiffure	siltet shar
petto	koma		deret	ደረት	derèt	ደረት	poitrine	sedr, sadr - sader, sadar
piaga	mada		qqùsel	ቁስል	qqusli	ቁስሊ	plaie	calm, giorh
piangere	bòu, dippaciù		aleqqesè	አለቀሰ	bekheyè	በከሁ	pleurer	baca, bikî, bkä
piano, adagio	cagela		ches	ፒያኖ ሙዚቃ	qqes	ቀስ	doucement	mâhlan, berrêhha, bêlek
pianoro	godà		ghelalà	ገለል	qès		plateau	msawy
piantagione	faciàsu		tekelàt	ተክል	tekhelàt		plantaion	zar, sezêri, sezar
pianura	urufà		miedà	ሜዳ	miedà		plaine	sâhla, sahl - uta, zfêra
piazza	yày		addebabai	አደባባይ	addebabai	አደባባይ	place	sâha - ushaja
piccione	bullalè		tinnisc-regheb	እርግብ	reghbì	እርግቢ	pigeon	hhamâna, hamâma
piccolo	tinnò		tennisc	ትንሽ 	erdad		petit	saghîr, shîr, shejîr
pidocchio	angiràn		qqemal	ቅማል	qqumàl		pou	câmla, gamla, qaml
piede	mìla, silba		egher	እግር	eghri	እግሪ	pied	rêgl, rigl, rizel
pietra	dakà		denghià	ድንጋይ	emny	አምኒ	pierre	hâgiar, hhagar, hhazrä
pietra focaia	carsà		bulàd	ድንጋይ	belàd		pierre à fusil	hâgiar sauâna, sawwâna
pietra sacra	tabòta		tabòt	ታቦት	tabòt		pierre sacrée	hâgiar mocârras
pigione	gattì mana		cherai	ኪራይ	chrai		loyer	chera, ekra - krä
pigro	boso		leghemegnà	ልግመኛ	accai		paresseux	caslân bchîl
pioggia	boccà		zenab	ዝናብ	zenab		pluie	mâtar, mâtara - metar, sbûb
pipa	gaja		metecìà	መጠጪያ	metseyt		pipe	sciôbok, galiûn - duwâjà
piroga	markàba		tancùa	ታንኳ	gelbà		pirogue	flûka, sagef, felûca, sanbûq
piroscafo	ibìdda		merkeb	መርከብ	babùr		pyroscaphe	markîb nar, babûr
piselli	aterà		aterocc		ainiaterat		pois  	bsella, ngiogo, bacla, bäzêliä
pistola	sceggut		sceggut	ሽጉጥ	sceggùtt		pistolet	fard, tafangia, hadrijä, haddâra
più	danù,  guddà		bezù	ብዙ	bezùh		plus	âktar, ziâda, cullema, shueia
piume	ballè		labocc	ላባ	chentit		plumes	risciaîn
plebeo	nama kimmata		hezbegna	ጨካኝ	hezbeyna		plébéien	ensân raâia, uahhesc
poco	tinnà		techit	ትንሽ 	hidet		peu	calil, sciuâia, suwwâye
poi	gulanà		behoalà	በኋላ	dehhàr		après	baâdu, bahdên, umbahd, bâad
polenta grano	markà		sendiè ganfò	ስንዴ ገንፎ	sernài-gheat		polente	bazina, bazîn
polenta granturco	sontò		ghenfò iebaher	ገንፎ	ghehat efùn		id. de maïs	hassîda
pollice	abòddu		aura tat	አውራ ጣት	abbaytò		pouce	bâhem
pollo	andako		dorò	ዶሮ	derhò		poulet	farkh, degiâg, farrûz
polmone	sòmba		sambà	ሳምባ	sanbuè		poumon	fasc, riîa, rîjä
polpaccio	sàrba		bat 	ባት	dangà		mollet	lobba er regl, fârä, lobba errigel
polvere	auvara		barùd	ባሩድ	barùd		poudre	barûd, gabar, raml
pomidoro 	tomatos		dematòs		abbatengial		tomate	banadûra, tamâtes, tmêtem
popolano	nama bìa		balaghèr	ታዋቂ	baaleghè		homme du peuple	ebn errâia
popone	dùba		bercik	ፍራፍሬ፣ሜለን	papai, bercik		melon	battîkh, sammâma
porta	babalà		deg 	በር	maetsò		porte	bâb, bäb
portare	baciù		tescecchemè	ተሸከመ	tsorè		porter	hhammal, giaa, tallah, zâb
portatore	bâtu		tescekàmi	ተሸካሚ	tseuarì		porteur	hammâl - hämmêl
posta	baciù kitab		posta	ፖሰታ	biet posta		poste à lettres	bôsta, bûsta
posta, caccia	gafò		wettemèd	ወጥመድ	hadagà		piste, affùt	mahât, uaghfa
posto	baccà		sefrà	ስፍራ	sefrà		place	macân, mahâl, mutrahh
potente	kan dendau		bailegnà	ሃይለኛ	chealì		puissan	cadîr
povero	degà		dehà	ደሃ	nedaì, dekhà		pauvre	fachîr, maschin - zauwäli, fgîr
povertà	deguma		dehannet	ደሃነት	nedièt		pauvreté	facar, dêghe
pozzo	bollò bisani		gudguad	ጉድጓድ	elà		puits	bîr, zbêdä
pranzare	ciàfru, misu		mesabellà	ምሳ መብላት	meshe		dîner	tagâda, thassa
pranzo	diràma		mesà, eràt	ምሳ 	mesàh		dîné	gâda, hasê
precipizio	hallàja		ghedel	ገደል	tsedfì		précipice	dahûra, giandâla, âamk
pregare	aderù		aderreghè	መማጸን	lemmenè		prier	sallâ, daa
prendere	fuciù		yazè	መያዝ	wesedè		prendre	mâsak, cabâd, akhad, khdê
prendi	fucì		uessèd	ውሰድ	enkà		prends	khûdi, khûd
preparare	bùsu		assenaddà	አሰናዳ	addalewè		apprêter	estaâd, hhaddar, där
presto	dafi		toliò	ቶሎ	ghis, tolò		prompt, vite	cauâm, bel âgial - fîssa, dûn-ek
prete	kesi		qqies,cahen	ቄስ፣ ካህን	qqescì, cahen		prêtre	casîs, qâssis, qass
prezzo	gattì-himu		uagà	ዋጋ	wagà		prix	tsaman, seêr - sûm
prezzo mite	mìnda		querttun-wagà	ቁርጥ ዋጋ	hayè-wagà		prix modéré	taman lêig, sûm lêig, hia rekhîsa
prigioniero	adeggè		mercognà	ምርኮኛ	merùkh		prisonnier	masgiûn, mahbûs, asîr
prima	odò		fit	በቅድሚያ	keddèm		avant	câblan, sâbecan, qabl, gêbel
primavera	berrà		werha-tseghè	ወርሃ ጸኃይ	tsebhàt		printemps	rabiaâ, ar rabî, rabihe
principe	moti		ras	ራስ	mekhuennèn		prince	amir, emir, bêi
profeta	nebì		nebii	ነብይ	nebyy		prophète	nabî, resûl
profumo	ùlu		scettò, scettù	ሽቶ	meazà		parfum	âtr, teib, rîha, hhelwa
proteggere	ararsitu		ttebbeqqè	ተጣበቀ	atsegghèe		protéger	hâma ân, fakk
provincia	gandà		awuragià	አውራጃ	awuraggià		provvince	walâia, iqlim
pugnale	billà		cciubiè, scesciò	ጩቤ	guddò		poignard	khângiar, hhangar, bunjâr
pulce	tafì		cunetcià	ቁንጫ	qquncci		puce	bargût, bärhût
puledro	ilmani		ghelghel	ግልገል	ghelghèl		poulain	môhr, muhr - felu, haily, gârihh
pulito	àru		tterragò	ጠረገ፣ አፀዳ 	tserùi		propre	nadîf, nidîf - ndyf
punire	dekàmu		qettà	ቀጣ	qetseè		punir	cass, âacab, qâsas - hâgeb
puntura	wau		neddefat	ነደፋት	wugheat		piqûre	nâkhza, qarsa, cars
puragante	abbasu		asfà	አስፋ	cossò		purgatif, purge	sciarbâ, sarba, mâshal - mushel
puzzare	agàu		ghemmà	መግማት	ccenewè		puer	ântan, nattin - hafan, zkham
